DEBUG--->2021-07-08 16:52:24,931--->关闭文件
DEBUG--->2021-07-08 16:52:24,931--->关闭文件
DEBUG--->2021-07-08 16:52:24,932--->执行结束
DEBUG--->2021-07-08 16:52:24,932--->执行结束
DEBUG--->2021-07-08 16:53:52,455--->开始执行
DEBUG--->2021-07-08 16:53:52,456--->执行用例中。。。。。。
DEBUG--->2021-07-08 16:54:19,991--->开始执行登录用例
DEBUG--->2021-07-08 16:54:19,991--->开始执行登录用例
DEBUG--->2021-07-08 16:54:32,406--->开始执行搜索用例
DEBUG--->2021-07-08 16:54:32,406--->开始执行搜索用例
DEBUG--->2021-07-08 16:54:48,135--->发送邮件
DEBUG--->2021-07-08 16:54:48,135--->发送邮件
DEBUG--->2021-07-08 16:54:49,177--->关闭文件
DEBUG--->2021-07-08 16:54:49,177--->关闭文件
DEBUG--->2021-07-08 16:54:49,178--->执行结束
DEBUG--->2021-07-08 16:54:49,178--->执行结束
DEBUG--->2021-07-09 21:15:26,055--->开始执行
DEBUG--->2021-07-09 21:15:26,061--->执行用例中。。。。。。
DEBUG--->2021-07-09 21:15:46,474--->开始执行登录用例
DEBUG--->2021-07-09 21:15:46,474--->开始执行登录用例
DEBUG--->2021-07-09 21:15:51,460--->开始执行搜索用例
DEBUG--->2021-07-09 21:15:51,460--->开始执行搜索用例
DEBUG--->2021-07-09 21:15:55,881--->发送邮件
DEBUG--->2021-07-09 21:15:55,881--->发送邮件
DEBUG--->2021-07-09 21:15:57,117--->关闭文件
DEBUG--->2021-07-09 21:15:57,117--->关闭文件
DEBUG--->2021-07-09 21:15:57,118--->执行结束
DEBUG--->2021-07-09 21:15:57,118--->执行结束
DEBUG--->2021-07-09 21:17:39,824--->开始执行
DEBUG--->2021-07-09 21:17:39,825--->执行用例中。。。。。。
DEBUG--->2021-07-09 21:17:58,439--->开始执行登录用例
DEBUG--->2021-07-09 21:17:58,439--->开始执行登录用例
DEBUG--->2021-07-09 21:18:03,399--->开始执行搜索用例
DEBUG--->2021-07-09 21:18:03,399--->开始执行搜索用例
DEBUG--->2021-07-09 21:18:07,997--->发送邮件
DEBUG--->2021-07-09 21:18:07,997--->发送邮件
DEBUG--->2021-07-09 21:18:09,082--->关闭文件
DEBUG--->2021-07-09 21:18:09,082--->关闭文件
DEBUG--->2021-07-09 21:18:09,083--->执行结束
DEBUG--->2021-07-09 21:18:09,083--->执行结束
DEBUG--->2021-07-09 21:19:25,185--->开始执行
DEBUG--->2021-07-09 21:19:25,221--->执行用例中。。。。。。
DEBUG--->2021-07-09 21:19:33,478--->开始执行登录用例
DEBUG--->2021-07-09 21:19:33,478--->开始执行登录用例
DEBUG--->2021-07-09 21:19:54,274--->开始执行搜索用例
DEBUG--->2021-07-09 21:19:54,274--->开始执行搜索用例
DEBUG--->2021-07-09 21:20:08,563--->发送邮件
DEBUG--->2021-07-09 21:20:08,563--->发送邮件
DEBUG--->2021-07-09 21:20:09,513--->关闭文件
DEBUG--->2021-07-09 21:20:09,513--->关闭文件
DEBUG--->2021-07-09 21:20:09,514--->执行结束
DEBUG--->2021-07-09 21:20:09,514--->执行结束
DEBUG--->2021-07-17 14:24:32,160--->开始执行
DEBUG--->2021-07-17 14:24:32,164--->执行用例中。。。。。。
DEBUG--->2021-08-11 19:01:41,527--->开始执行
DEBUG--->2021-08-11 19:01:41,537--->执行用例中。。。。。。
DEBUG--->2021-08-11 19:01:44,636--->开始执行登录用例
DEBUG--->2021-08-11 19:01:44,636--->开始执行登录用例
DEBUG--->2021-08-11 19:01:54,969--->开始执行搜索用例
DEBUG--->2021-08-11 19:01:54,969--->开始执行搜索用例
DEBUG--->2021-08-11 19:02:07,300--->发送邮件
DEBUG--->2021-08-11 19:02:07,300--->发送邮件
DEBUG--->2021-08-11 19:02:08,451--->关闭文件
DEBUG--->2021-08-11 19:02:08,451--->关闭文件
DEBUG--->2021-08-11 19:02:08,451--->执行结束
DEBUG--->2021-08-11 19:02:08,451--->执行结束
DEBUG--->2021-08-11 19:04:36,468--->开始执行
DEBUG--->2021-08-11 19:04:36,468--->执行用例中。。。。。。
DEBUG--->2021-08-11 19:04:42,203--->开始执行登录用例
DEBUG--->2021-08-11 19:04:42,203--->开始执行登录用例
DEBUG--->2021-08-11 19:04:43,726--->开始执行搜索用例
DEBUG--->2021-08-11 19:04:43,726--->开始执行搜索用例
DEBUG--->2021-08-11 19:04:47,070--->发送邮件
DEBUG--->2021-08-11 19:04:47,070--->发送邮件
DEBUG--->2021-08-11 19:04:48,395--->关闭文件
DEBUG--->2021-08-11 19:04:48,395--->关闭文件
DEBUG--->2021-08-11 19:04:48,395--->执行结束
DEBUG--->2021-08-11 19:04:48,395--->执行结束
DEBUG--->2021-08-11 19:39:54,368--->开始执行
DEBUG--->2021-08-11 19:39:54,368--->执行用例中。。。。。。
DEBUG--->2021-08-11 19:40:00,168--->开始执行登录用例
DEBUG--->2021-08-11 19:40:00,168--->开始执行登录用例
DEBUG--->2021-08-11 19:40:00,238--->开始执行搜索用例
DEBUG--->2021-08-11 19:40:00,238--->开始执行搜索用例
DEBUG--->2021-08-11 19:40:14,432--->发送邮件
DEBUG--->2021-08-11 19:40:14,432--->发送邮件
DEBUG--->2021-08-11 19:40:15,701--->关闭文件
DEBUG--->2021-08-11 19:40:15,701--->关闭文件
DEBUG--->2021-08-11 19:40:15,701--->执行结束
DEBUG--->2021-08-11 19:40:15,701--->执行结束
DEBUG--->2021-08-11 19:40:16,533--->开始执行
